KOD;NAZEV;REGSOUDR_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
124;Olomoucký kraj;80;CZ071;01.01.2000 00:00:00;;01.01.2000 00:00:00
27;Středočeský kraj;50;CZ020;01.01.2000 00:00:00;;01.01.2000 00:00:00
19;Hlavní město Praha;19;CZ010;01.01.2000 00:00:00;;01.01.2000 00:00:00
116;Jihomoravský kraj;60;CZ064;01.01.2000 00:00:00;;01.01.2000 00:00:00
