KOD;NAZEV;VUSC_KOD;NUTS_LAU;PLATI_OD;PLATI_DO;DATUM_VZNIKU
3805;Olomouc;124;CZ0712;01.01.2000 00:00:00;;11.04.1960 00:00:00
3202;Beroun;27;CZ0202;01.01.2000 00:00:00;;11.04.1960 00:00:00
3100;Hlavní město Praha;19;CZ0100;01.01.2000 00:00:00;;11.04.1960 00:00:00
3702;Blansko;116;CZ0641;01.01.2000 00:00:00;;11.04.1960 00:00:00
3203;Kladno;27;CZ0203;01.01.2000 00:00:00;;11.04.1960 00:00:00
